login_hour,login_duration,failed_attempts,device_change,location_change
8,32,0,0,0
9,35,0,0,0
10,42,0,0,0
11,38,0,0,0
9,30,1,0,0
10,45,0,0,0
8,40,0,0,0
9,37,0,0,0
10,50,1,0,0
11,43,0,0,0
8,35,0,0,0
9,41,0,0,0
10,39,0,0,0
11,46,0,0,0
9,33,1,0,0
10,44,0,0,0
8,37,0,0,0
9,45,0,0,0
10,36,0,0,0
11,40,0,0,0
8,42,0,0,0
9,38,0,0,0
10,47,0,0,0
11,35,0,0,0
9,43,1,0,0
10,41,0,0,0
8,34,0,0,0
9,39,0,0,0
10,46,0,0,0
11,44,0,0,0
8,36,0,0,0
9,32,0,0,0
10,43,1,0,0
11,48,0,0,0
9,40,0,0,0
10,38,0,0,0
8,44,0,0,0
9,36,0,0,0
10,45,0,0,0
11,42,0,0,0
8,39,0,0,0
9,44,1,0,0
10,40,0,0,0
11,37,0,0,0
9,42,0,0,0
10,35,0,0,0
8,41,0,0,0
9,34,0,0,0
10,48,1,0,0
11,39,0,0,0
8,45,0,0,0
9,37,0,0,0
10,42,0,0,0
11,41,0,0,0
9,31,0,0,0
10,46,1,0,0
8,38,0,0,0
9,43,0,0,0
10,39,0,0,0
11,45,0,0,0
8,35,0,0,0
9,40,0,0,0
10,44,0,0,0
11,38,0,0,0
9,36,1,0,0
10,41,0,0,0
8,43,0,0,0
9,45,0,0,0
10,37,0,0,0
11,47,0,0,0
8,40,0,0,0
9,42,0,0,0
10,43,0,0,0
11,36,0,0,0
9,39,1,0,0
10,48,0,0,0
8,37,0,0,0
9,44,0,0,0
22,4,8,1,1
1,3,10,1,1
23,5,9,1,1
2,4,12,1,1
0,2,8,1,1
21,5,11,1,1
3,3,10,1,1
22,4,13,1,1
1,5,9,1,1
23,3,12,1,1
2,2,11,1,1
0,4,10,1,1
21,3,9,1,1
3,5,14,1,1
22,2,12,1,1
1,4,11,1,1
23,4,10,1,1
2,3,13,1,1
0,3,9,1,1
21,4,12,1,1
