text,label
"Your account has been suspended. Click this link immediately to verify your account",phishing
"Congratulations! You have won a cash prize. Click here to claim it",phishing
"Urgent! Your bank account will be blocked unless you verify your details now",phishing
"Your password is about to expire. Click the link to reset it immediately",phishing
"You have received a free gift. Provide your information to claim your reward",phishing
"Security alert! We detected unusual activity. Verify your account now",phishing
"Your payment failed. Click here and enter your card details to complete the payment",phishing
"Congratulations, you are selected for a lottery. Send your bank details to receive the prize",phishing
"Your email account will be deleted today. Login now to prevent deletion",phishing
"Click this link urgently to confirm your identity and avoid account suspension",phishing
"Your bank has detected suspicious activity. Verify your account immediately",phishing
"You won a special offer. Click here to claim your free reward",phishing
"Dear customer, your account requires immediate verification",phishing
"Your credit card has been blocked. Confirm your information using this link",phishing
"Act now! You have been selected for an exclusive cash reward",phishing
"Your package cannot be delivered. Click the link and pay the delivery fee",phishing
"Important security notice. Confirm your username and password immediately",phishing
"Your account has unusual activity. Login through this link to secure it",phishing
"Free vacation offer! Enter your personal details to receive your ticket",phishing
"Your subscription will expire today. Click here to renew your payment details",phishing
"Hi team, today's project meeting is scheduled at 10 AM",safe
"Please find the project report attached for your review",safe
"Can we meet tomorrow to discuss the project?",safe
"Your appointment is confirmed for Monday at 11 AM",safe
"Please submit the assignment before Friday",safe
"The college seminar will begin at 9 AM tomorrow",safe
"Hi, I have shared the presentation with you",safe
"Please review the document and send me your feedback",safe
"Your order has been delivered successfully",safe
"Thank you for attending today's meeting",safe
"Please remember to bring your ID card tomorrow",safe
"The team meeting has been moved to 3 PM",safe
"Here is the monthly sales report for your reference",safe
"Please contact me when you are available",safe
"The exam timetable has been published",safe
"Your interview is scheduled for tomorrow at 10 AM",safe
"Please check the attached project requirements",safe
"Let's discuss the project during tomorrow's meeting",safe
"Your registration has been successfully completed",safe
"Thank you for your response. I will get back to you soon",safe
